time (s),B_z (T)
6.71e-08,-5.186902151594236e-05
6.72e-08,-5.047787351922662e-05
6.73e-08,-4.706133257230692e-05
6.740000000000001e-08,-4.806580422099625e-05
6.75e-08,-5.804640946884476e-05
6.76e-08,-5.10672290804858e-05
6.77e-08,-4.81984830119678e-05
6.78e-08,-5.242048325078486e-05
6.79e-08,-5.3716024199107614e-05
6.8e-08,-6.289968857991033e-05
6.810000000000001e-08,-6.891425422613424e-05
6.82e-08,-7.171134509360815e-05
6.83e-08,-6.30427054283271e-05
6.84e-08,-6.655676417055133e-05
6.85e-08,-6.17485695500224e-05
6.86e-08,-6.462022955903563e-05
6.87e-08,-6.237157007433673e-05
6.880000000000001e-08,-6.266662220689862e-05
6.89e-08,-5.638927332268972e-05
6.900000000000001e-08,-5.929156215417086e-05
6.91e-08,-6.888509793118743e-05
6.92e-08,-7.71490091988243e-05
